Category: ALL
Cores: 10
Subjects: 212
Training set size: 211
Testing set size: 1
Lambda coefficient: 0.0
Matrix: I
Binary matrix: yes
Iterations per patient: 3000000
Folds: 212
Elapsed time for training (s): 5681.66
Total time (s): 5869.31
+------+---------------+-------------+------------------+-----------------+
|  CG  | Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+------+---------------+-------------+------------------+-----------------+
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4414/ |     0.002     |       0.9103      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4430/ |     0.0006    |       0.9611      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4458/ |     0.0004    |       0.9779      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4489/ |     0.0017    |       0.9302      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4507/ |     0.0006    |       0.9794      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4510/ |     0.0012    |       0.9509      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4538/ |     0.0021    |       0.8631      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4584/ |     0.001     |       0.9522      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4611/ |     0.0006    |       0.977       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4626/ |     0.0014    |       0.9405      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4630/ |     0.0016    |       0.8973      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4631/ |     0.0036    |       0.8899      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4654/ |     0.001     |       0.9681      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4675/ |     0.0004    |       0.9797      |
